Name,Category,Picture Url,Link
Yankee Candle,Popular,https://m.media-amazon.com/images/I/71z2PlQB88L._AC_SX679_.jpg,https://amzn.to/3p3J1Pj
Yeti Tumblers,Popular,https://cdn11.bigcommerce.com/s-6rtev5owwo/images/stencil/500x659/products/233033/180686/yeti-20__09843.1558338420.jpg?c=2,https://amzn.to/3dh46TC
AirPods Pro,Popular,https://m.media-amazon.com/images/I/71bhWgQK-cL._AC_SX679_.jpg,https://amzn.to/3SCu9F9
DIY Kit for Homemade Whisky Flavor,Popular,https://m.media-amazon.com/images/I/81toZVZm+6L._AC_SL1500_.jpg,https://amzn.to/3zVeyrM
Facial Beauty Roller Skin Care Tools,Popular,https://m.media-amazon.com/images/I/61pew7OeBXL._SL1100_.jpg,https://amzn.to/3bVDPdq
15 Pieces Kitchen Knife Sets with Built-in Sharpener,Popular,https://m.media-amazon.com/images/I/7175ph1caRL._AC_SL1500_.jpg,https://amzn.to/3Ppztcf
Digital to Analog Polaroid Photo Printer,Popular,https://m.media-amazon.com/images/I/71VGIuER14L._AC_SL1500_.jpg,https://amzn.to/3JUPBkX
Deep Tissue Muscle Massager,Popular,https://m.media-amazon.com/images/I/71451kN1OXL._AC_SL1500_.jpg,https://amzn.to/3w5Hmwt
Ninja AF101 Air Fryer,Popular,https://m.media-amazon.com/images/I/71+8uTMDRFL._AC_SL1500_.jpg,https://amzn.to/3AigIDc
Satin Pillow Cases,Popular,https://m.media-amazon.com/images/I/71zJ2OOs1rL._AC_SL1500_.jpg,https://amzn.to/3AlIoab
Keurig K-Mini Plus Coffee Maker,Popular,https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SL1500_.jpg,https://amzn.to/3AlDES1
"Wireless Charger Stand, CIYOYO 3 in 1 Fast Wireless",Popular,https://m.media-amazon.com/images/I/610tXrWYlnL._AC_SL1500_.jpg,https://amzn.to/3zUfDjp
"Deluxe Hot Sauce Making Kit, 3 Varieties of Chili Peppers",Popular,https://m.media-amazon.com/images/I/91xwQ5TwmFL._SL1500_.jpg,https://amzn.to/3w46unq
Tequila Shot Board Serving Tray,Popular,https://m.media-amazon.com/images/I/71kSKSS1a4L._AC_SL1500_.jpg,https://amzn.to/3dqznnk
Women's Bath Robe,Popular,https://cdn11.bigcommerce.com/s-8b73zdbehb/images/stencil/1280x1280/attribute_rule_images/26050450_source_1660493425.jpg,https://amzn.to/3C4Y4Qt
Shark Blow Dryer HyperAIR Fast-Drying,Popular,https://m.media-amazon.com/images/I/7163BFwAEEL._AC_SL1500_.jpg,https://amzn.to/3pePyH7
Spa Gift Baskets for Women,Popular,https://m.media-amazon.com/images/I/91lAANJPeyL._SL1500_.jpg,https://amzn.to/3w3CsAl
